time,precipitation_mm
2018-07-04,0.38492563
2018-07-05,0.09613281
2018-07-06,0.06672909
2018-07-07,0.06766404
2018-07-08,0.002616085
2018-07-09,0.23127782
2018-07-10,0.079360925
2018-07-11,0.12305255
2018-07-12,0.34864077
2018-07-13,0.28913647
2018-07-14,0.18754043
2018-07-15,0.00014280279
2018-07-16,0.22833182
2018-07-17,1.2533288
2018-07-18,0.09643987
2018-07-19,0.1234814
2018-07-20,2.1012828
2018-07-21,0.1276124
2018-07-22,0.004972376
2018-07-23,0.03004615
2018-07-24,0.101333655
2018-07-25,0.039338887
2018-07-26,0.6453953
2018-07-27,6.5539427
2018-07-28,6.127035
2018-07-29,6.3428674
2018-07-30,1.9494506
2018-07-31,1.2119969
2018-08-01,0.062162414
2018-08-02,0.04919068
2018-08-03,0.7958955
2018-08-04,0.029683823
2018-08-05,0.0003976304
2018-08-06,0.0029595657
2018-08-07,5.507471
2018-08-08,0.4732895
2018-08-09,10.556577
2018-08-10,5.2887583
2018-08-11,2.4581017
2018-08-12,10.760848
2018-08-13,4.4327035
2018-08-14,0.23451243
2018-08-15,0.519449
2018-08-16,4.433709
2018-08-17,0.25846845
2018-08-18,0.36995298
2018-08-19,1.9289023
2018-08-20,1.3772358
2018-08-21,0.54076654
2018-08-22,0.22093198
2018-08-23,4.509474
2018-08-24,1.8302294
2018-08-25,0.48464572
2018-08-26,10.518371
2018-08-27,0.4376692
2018-08-28,0.082161635
2018-08-29,4.9944997
2018-08-30,0.1928126
2018-08-31,0.24451059
2018-09-01,0.00020267353
2018-09-02,8.976176e-05
2018-09-03,0.003953775
2018-09-04,0.34411153
2018-09-05,1.2386109
2018-09-06,3.3769858
2018-09-07,1.364105
2018-09-08,1.9263256
2018-09-09,0.5751261
2018-09-10,0.5180148
2018-09-11,1.4092777
2018-09-12,1.5274997
2018-09-13,0.038661685
2018-09-14,0.6253564
2018-09-15,0.23091336
2018-09-16,0.49969065
2018-09-17,0.42577398
2018-09-18,0.17596328
2018-09-19,0.44027752
2018-09-20,9.488385
2018-09-21,4.2829266
2018-09-22,5.299429
2018-09-23,6.5220037
2018-09-24,0.016640961
2018-09-25,4.4703484e-05
2018-09-26,0.008068624
2018-09-27,0.06363816
2018-09-28,0.02060121
2018-09-29,0.005539418
2018-09-30,0.25472605
2018-10-01,1.7830861
2018-10-02,1.1497918
2018-10-03,0.12915306
2018-10-04,0.051664103
2018-10-05,1.5586095
2018-10-06,9.029036
2018-10-07,0.16786318
2018-10-08,0.06136724
2018-10-09,0.0
2018-10-10,0.051962033
2018-10-11,2.422991
2018-10-12,1.6717184
2018-10-13,1.4294903
2018-10-14,12.446853
2018-10-15,6.1633573
2018-10-16,0.22399382
2018-10-17,0.13696429
2018-10-18,0.032928463
2018-10-19,0.0061446005
2018-10-20,0.0076718805
2018-10-21,0.17383713
2018-10-22,0.14870894
2018-10-23,0.07351683
2018-10-24,0.021337043
2018-10-25,0.18528795
2018-10-26,2.6358712
2018-10-27,3.706726
2018-10-28,3.4666717
2018-10-29,0.7325407
2018-10-30,2.069377
2018-10-31,0.79822576
2018-11-01,7.617751
2018-11-02,0.011697856
2018-11-03,0.096012704
2018-11-04,0.5097269
2018-11-05,0.5164604
2018-11-06,0.51153
2018-11-07,6.5911713
2018-11-08,0.1939622
2018-11-09,3.8338215
2018-11-10,11.794312
2018-11-11,3.960452
2018-11-12,2.0196345
2018-11-13,0.86795723
2018-11-14,0.802449
2018-11-15,0.13999234
2018-11-16,0.40812188
2018-11-17,0.08466902
2018-11-18,0.031880148
2018-11-19,1.6675682
2018-11-20,6.019915
2018-11-21,3.3336403
2018-11-22,1.1077622
2018-11-23,0.36366215
